date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/02/16,9932.3,10087.38657,9859.566406,8755.234972,10495.237
2020/02/17,9701.4,9872.842532,9873.950195,8426.261434,10232.573
2020/02/18,10158.4,10034.3396,10050.57129,8566.078565,10410.003
2020/02/19,9609.4,9939.890781,9974.633789,8456.697279,10274.875
2020/02/20,9602.4,9807.552311,10102.65918,8250.597291,10095.27
2020/02/21,9684.5,9727.91332,9438.803711,8253.255745,10079.425
2020/02/22,9655.7,9709.762069,9802.160156,8220.537492,10035.772
2020/02/23,9942.7,9735.453015,9527.016602,8317.105091,10049.988
2020/02/24,9662.7,9629.03598,9335.854492,8305.29539,9953.235
2020/02/25,9317.2,9481.836925,9240.47168,8243.003959,9833.182
2020/02/26,8800.3,9367.349375,8571.133789,8131.50082,9654.614
2020/02/27,8818.6,9145.120804,8541.898438,8069.491358,9480.961
2020/02/28,8697.5,9079.861592,8251.682617,8093.648223,9411.346
2020/02/29,8543.7,8861.910682,8220.853516,8031.275703,9268.404
2020/03/01,8540,8831.257149,8075.004395,8044.593932,9156.845
2020/03/02,8904.8,8658.41701,8107.230469,8000.59837,9043.946
2020/03/03,8761.4,8218.633522,8183.705566,8021.852642,8879.673
2020/03/04,8757.9,8483.421759,8241.606445,7631.096471,1979.3684
2020/03/05,9060.3,8415.743346,8231.953125,7659.206441,1874.1437
2020/03/06,9134.8,8204.466745,8093.240234,7589.58239,1781.4106
2020/03/07,8887.8,8001.006281,8132.083496,7549.310534,1628.0518
2020/03/08,8034.1,7902.618427,8147.69873,7371.147128,1513.0044
2020/03/09,7933,7383.957761,7468.306152,6814.777613,1464.9202
2020/03/10,7891.2,7414.478375,7580.010742,6790.050013,1479.3296
2020/03/11,7935.1,7460.787525,7587.762207,6821.938063,1502.7292
2020/03/12,4826,7397.246473,7785.367676,6715.848743,1462.9092
2020/03/13,5584.3,7096.487025,7501.111328,6586.043756,1455.1741
2020/03/14,5182.7,7058.137072,7282.033691,6520.488728,1426.0488
2020/03/15,5366.3,7178.816332,7079.798828,6660.131069,1413.4407
2020/03/16,5030,6945.41298,7263.791016,6545.213624,1535.4954
2020/03/17,5261.1,7114.557043,7085.308105,6531.372757,1663.5104
2020/03/18,5361.4,7105.302834,6913.803711,6639.613307,1568.439
2020/03/19,6172,7088.787221,6826.575195,6679.550312,1553.9697
2020/03/20,6205.3,6808.860446,6605.644043,6587.333862,1504.3142
2020/03/21,6186.2,6943.705534,6946.541504,6585.965429,1534.8369
2020/03/22,5822.1,6935.164967,6810.725586,6654.806051,1514.0531
2020/03/23,6468.9,6842.551656,6530.05957,6651.181676,1470.8706
2020/03/24,6744.6,6852.804114,6550.790527,6703.404178,1417.6758
2020/03/25,6678.9,6872.450217,6783.411133,6735.456015,1398.5325
2020/03/26,6725.1,6906.007154,6308.068848,6767.545778,1393.5806
2020/03/27,6373.4,6732.963354,6095.947754,6708.328799,1342.7825
2020/03/28,6233.7,6353.838799,5800.263672,6579.495709,1312.218
2020/03/29,5890.4,6409.749205,5957.01416,6714.181988,1232.6652
2020/03/30,6391,6425.79395,6356.69873,6695.378399,1301.0884
2020/03/31,6412.5,6324.427059,6013.560059,6707.842151,1198.5693
2020/04/01,6638.5,6346.527845,5735.035645,6711.017337,1158.3401
2020/04/02,6800.5,6360.293574,6003.348633,6771.143184,1125.2211
2020/04/03,6735.9,6228.848056,5657.388184,6773.837878,1050.4854
2020/04/04,6857.4,6061.34525,5845.506348,6706.907413,1031.0767
2020/04/05,6772.7,6048.934035,5802.048828,6701.76563,1016.5918
2020/04/06,7332.3,5857.992043,5945.381348,6721.221472,946.58765
2020/04/07,7185.2,5935.237726,5637.753906,6968.195787,770.4068
2020/04/08,7361.2,5877.581215,5432.255371,6994.28114,742.0237
2020/04/09,7289,5847.437207,5299.736816,7028.177615,673.31946
2020/04/10,6863.1,5549.047831,5356.996582,6798.973294,696.19257
2020/04/11,6867.8,5502.119952,4989.831055,6796.78882,693.1322
2020/04/12,6917.6,5493.89808,5439.005859,6655.911784,821.9806
2020/04/13,6841.3,5716.972053,5679.314941,6703.623556,888.5181
2020/04/14,6850.9,6077.82249,5900.370605,6849.78269,992.6182
2020/04/15,6629.1,6324.382265,5992.391113,6966.612499,1060.7383
2020/04/16,7085.6,6393.929814,5814.242676,6831.055252,1214.8552
2020/04/17,7035.8,6596.254562,5819.116699,6909.298264,1317.5723
2020/04/18,7230.8,6801.708339,6435.567383,7021.970923,1389.505
2020/04/19,7122.9,6921.56398,6288.429199,6978.301381,1511.7266
2020/04/20,6833.5,7047.041661,6784.650879,6993.120804,1712.8163
2020/04/21,6842.5,7370.892004,7274.220215,7041.846235,1862.112
2020/04/22,7112.9,7674.106472,7653.807617,7122.355085,1991.7485
2020/04/23,7488.5,7845.923321,7416.678711,7142.274266,2140.5742
2020/04/24,7503.8,8042.80183,7394.721191,7190.014739,2280.466
2020/04/25,7540.4,8317.231114,7983.312012,7331.238227,2473.7112
2020/04/26,7678.9,8438.055251,7509.024902,7252.160934,2639.3706
2020/04/27,7766,8780.305486,8224.100586,7509.651323,2881.2754
2020/04/28,7746.9,8947.657517,8050.068359,7437.3954,3013.914
2020/04/29,8770.9,9116.402458,8425.831055,7451.846693,3135.8477
2020/04/30,8629,9613.125651,9368.175781,7990.512586,3586.7603
2020/05/01,8821.6,9571.244262,9215.082031,7883.452239,3580.212
2020/05/02,8966.3,9729.632218,9449.713867,7892.961493,3741.2786
2020/05/03,8885.5,10011.17565,9905.890625,8045.468637,3998.9214
2020/05/04,8874.7,10158.59174,10253.42383,8042.82243,4181.1123
2020/05/05,9001,10017.50686,9979.773438,7921.584325,4034.3518
2020/05/06,9151.4,10163.98003,10010.71973,7979.570778,4186.0225
2020/05/07,9979.8,10464.75829,10397.86914,8185.876388,4486.3647
2020/05/08,9806.2,10549.77906,10379.57031,8364.438981,4670.7783
