date,index_num,y,glmnet_pred
2020/06/07,231,9742.6,9667.925993
2020/06/08,232,9777.9,9751.180507
2020/06/09,233,9768.8,9827.914838
2020/06/10,234,9878.8,9988.442289
2020/06/11,235,9283.2,9957.336568
2020/06/12,236,9466.6,9506.388382
2020/06/13,237,9471.3,9650.672351
2020/06/14,238,9345.3,9760.995531
2020/06/15,239,9425.4,9726.000154
2020/06/16,240,9523.5,9768.285767
2020/06/17,241,9464.6,9751.407795
2020/06/18,242,9388.1,9827.461323
2020/06/19,243,9314,9845.800862
2020/06/20,244,9358.8,9805.34706
2020/06/21,245,9296.4,9799.367685
2020/06/22,246,9683.7,9842.455405
2020/06/23,247,9624.6,9925.300354
2020/06/24,248,9302,10158.1912
2020/06/25,249,9247.5,9926.767163
2020/06/26,250,9160,9819.560164
2020/06/27,251,9008.3,9871.21547
2020/06/28,252,9124,9814.61389
2020/06/29,253,9185.4,9866.92209
2020/06/30,254,9135.4,9932.662334
2020/07/01,255,9229.9,9889.449075
2020/07/02,256,9085.1,9871.131803
2020/07/03,257,9067.1,9773.69079
2020/07/04,258,9134.4,9729.347698
2020/07/05,259,9081,9709.583066
2020/07/06,260,9339,9831.965821
2020/07/07,261,9256,9915.458069
2020/07/08,262,9429.9,10020.0084
2020/07/09,263,9235.7,10044.72606
2020/07/10,264,9285.1,9927.58225
2020/07/11,265,9233.3,9994.135842
2020/07/12,266,9300.8,9881.864972
2020/07/13,267,9243.6,10016.75502
2020/07/14,268,9253.4,10157.12546
2020/07/15,269,9198.7,10270.77758
2020/07/16,270,9135.3,10264.28222
2020/07/17,271,9155.8,10116.27762
2020/07/18,272,9170.2,10294.38313
2020/07/19,273,9208,10250.3369
2020/07/20,274,9162.4,10468.58922
2020/07/21,275,9387.3,10602.20679
2020/07/22,276,9513.7,10752.91792
2020/07/23,277,9599.6,11032.50531
2020/07/24,278,9546.4,11017.70593
2020/07/25,279,9704.1,11073.24155
2020/07/26,280,9932.5,11062.42257
2020/07/27,281,11022.8,11384.71598
2020/07/28,282,10908.5,11856.49213
2020/07/29,283,11105.9,11905.64902
2020/07/30,284,11096.2,12079.67779
2020/07/31,285,11333.4,12090.04377
2020/08/01,286,11803.1,12190.22662
2020/08/02,287,11066.8,12403.22157
2020/08/03,288,11224.4,12328.22761
2020/08/04,289,11184.7,12385.08507
2020/08/05,290,11735.1,12634.45745
